epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.992,1.50439,1.75717,1.69499,0.3916,0.54294,0.3618,0.17725,1.6383,3.6893,1.88775,0.000266436,0.000266436,0.0669619
2,1274.86,1.48504,1.65702,1.68369,0.52386,0.52547,0.5168,0.22666,1.66854,2.42516,1.83031,0.000532289,0.000532289,0.0338944
3,1921.04,1.47593,1.60194,1.67008,0.53708,0.58952,0.51182,0.24642,1.54778,3.03889,1.75346,0.000794896,0.000794896,0.000823706
4,2569.88,1.41984,1.53335,1.62586,0.56161,0.60044,0.56169,0.28023,1.57733,2.39202,1.78044,0.000789058,0.000789058,0.000789058
5,3219.99,1.38161,1.46336,1.5953,0.63199,0.63028,0.6309,0.29077,1.56337,2.49696,1.71362,0.000780618,0.000780618,0.000780618
6,3871.07,1.33688,1.39955,1.55836,0.58792,0.61887,0.61546,0.30495,1.49103,2.49488,1.66345,0.000769856,0.000769856,0.000769856
7,4522.6,1.3024,1.33774,1.53332,0.64105,0.6473,0.63387,0.3185,1.46373,2.45616,1.6696,0.000756839,0.000756839,0.000756839
8,5173.19,1.29589,1.32752,1.52006,0.62847,0.65251,0.63983,0.32952,1.47529,2.51256,1.65406,0.000741646,0.000741646,0.000741646
9,5823.74,1.27976,1.27915,1.50913,0.64939,0.64192,0.64063,0.31348,1.50014,1.62549,1.67233,0.000724371,0.000724371,0.000724371
10,6473.71,1.25215,1.24847,1.483,0.66926,0.68559,0.69591,0.35968,1.43971,1.73075,1.60736,0.000705121,0.000705121,0.000705121
11,7124.38,1.23052,1.20976,1.4665,0.72175,0.69723,0.71667,0.38502,1.44325,1.68471,1.5973,0.000684014,0.000684014,0.000684014
12,7778.11,1.20946,1.1861,1.45044,0.7169,0.67823,0.71985,0.38693,1.43795,1.37245,1.62092,0.000661181,0.000661181,0.000661181
13,8433.96,1.1962,1.14859,1.44043,0.72706,0.69141,0.72804,0.38464,1.41059,1.41567,1.59648,0.000636763,0.000636763,0.000636763
14,9087.08,1.17525,1.12168,1.42081,0.66788,0.71033,0.72724,0.40038,1.3711,1.61476,1.57382,0.000610909,0.000610909,0.000610909
15,9740.74,1.16567,1.10838,1.41606,0.75022,0.69869,0.7625,0.41257,1.37568,1.51542,1.54566,0.00058378,0.00058378,0.00058378
16,10393.7,1.14687,1.08131,1.39584,0.72031,0.73475,0.76354,0.4295,1.35765,1.71574,1.55368,0.000555543,0.000555543,0.000555543
17,11052.8,1.13704,1.0575,1.392,0.69959,0.76274,0.73163,0.40643,1.32913,1.45024,1.52549,0.000526371,0.000526371,0.000526371
